,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Szabo,pacer,Midnight Black,Z30,Colt,https://img.zed.run/horses/000000.png,2022-06-29T16:21:07,Taron,435418,"[{'name': 'Jade Cove', 'nft_id': 420427}, {'name': 'Trovao', 'nft_id': 343689}]",9,3.49,86,142,228,4.23,26,29,3.95,False
0,Buterin,genesis,Deep Taupe,Z9,Mare,https://img.zed.run/horses/7E5E60.png,2021-07-09T15:55:24,To Cover The Chicken,42208,[],0,0.0,6,0,6,0.0,1,0,0.0,False
0,Buterin,pacer,Fandango,Z268,Stallion,https://img.zed.run/horses/B53389.png,2022-06-29T16:43:27,Fan Mail,435438,"[{'name': 'The Chinese Champion', 'nft_id': 381706}, {'name': 'Ube Mochi Ice-cream', 'nft_id': 212684}]",9,10.47,86,6,92,0.0,5,8,9.78,False
0,Buterin,genesis,Buff Gold,Z9,Mare,https://img.zed.run/horses/F0DC82.png,2021-07-09T15:55:41,Decade Of Knowledge,42223,[],24,6.75,311,37,348,8.11,36,19,6.9,False
0,Finney,elite,Brown Sugar,Z21,Filly,https://img.zed.run/horses/AF6E4D.png,2022-06-29T16:51:50,Lost Crop,435439,"[{'name': 'Long Lost Heir', 'nft_id': 186772}, {'name': 'Top of the Crop', 'nft_id': 13804}]",0,0.0,11,0,11,0.0,0,0,0.0,False
0,Buterin,legendary,Champagne Papi,Z17,Colt,https://img.zed.run/horses/F1DDCF.png,2021-12-24T16:05:21,Knuckle Ball,173310,"[{'name': 'Van Gogh â\x80\x99s Trough', 'nft_id': 41995}, {'name': 'Susan â\x80\x99s Glen', 'nft_id': 28390}]",0,0.0,44,0,44,0.0,1,2,0.0,False
0,Finney,cross,Suave Mauve,Z25,Colt,https://img.zed.run/horses/D473D4.png,2022-06-29T18:06:38,Clapped,435459,"[{'name': 'Dead Grand', 'nft_id': 420336}, {'name': 'Matty Dee', 'nft_id': 371260}]",8,7.14,112,6,118,0.0,11,12,6.78,False
0,Buterin,exclusive,Cinereous,Z23,Colt,https://img.zed.run/horses/98817B.png,2022-06-29T18:08:12,Suckween,435460,"[{'name': 'Keep Looking Up', 'nft_id': 388850}, {'name': 'Teacher’s Pet', 'nft_id': 2011}]",9,6.34,142,4,146,0.0,8,10,6.16,False
0,Nakamoto,legendary,Cinereous,Z2,Mare,https://img.zed.run/horses/98817B.png,2021-12-24T16:15:16,Toil and Trouble,173318,"[{'name': 'Fantastic Rock', 'nft_id': 21305}, {'name': 'Solar', 'nft_id': 143}]",17,4.35,322,73,395,4.11,28,44,4.3,False
0,Szabo,cross,Midnight Black,Z15,Mare,https://img.zed.run/horses/000000.png,2022-06-29T18:17:47,Twerk,435463,"[{'name': 'Grand Daughter', 'nft_id': 403178}, {'name': 'Boom Tisha Boom', 'nft_id': 162604}]",8,9.41,85,5,90,0.0,4,6,8.89,False
