,horse_id,time_sold,price
69856,120011,464377,0.0015
69857,516754,464377,0.03
69858,482340,464377,0.0049
69859,461729,464377,0.01
69860,467941,464377,0.05
69861,100748,464377,0.09
69862,514862,464377,0.002
69863,86585,464377,0.001
69864,437102,464377,0.002
69865,515906,464377,0.001
69866,412560,464377,0.05
69867,92297,464377,0.005
69868,515611,464377,0.08
69869,513977,464377,0.002
69870,476249,464378,0.04
69871,463127,464378,0.01
69872,516378,464378,0.037
69873,409545,464378,0.0016
69874,65795,464378,0.02
69875,438548,464378,0.001
69876,476960,464378,0.0044
69877,437176,464379,0.01
69878,516097,464379,0.0105999
69879,82141,464379,0.045
69880,47473,464379,0.079
69881,441843,464379,0.03
69882,45970,464380,0.09
69883,419739,464380,0.00149
69884,458092,464380,0.025
69885,34365,464380,0.01
69886,488279,464380,0.042
69887,468379,464380,0.035
69888,90630,464381,0.079
69889,452644,464381,0.001
69890,21892,464381,0.299
69891,433776,464382,0.009
69892,391642,464382,0.2
69893,484705,464382,0.0425
69894,515707,464382,0.0699
69895,510818,464382,0.04
69896,414710,464382,0.049
69897,487395,464382,0.1
69898,111349,464382,0.15
69899,420604,464382,0.01
69900,395388,464382,0.1
69901,514594,464382,0.001
69902,465339,464382,0.0014
69903,514257,464382,0.02
69904,488053,464382,0.01
69905,481487,464383,0.06
69906,490652,464383,0.02
69907,511181,464383,0.0015
69908,22947,464383,0.54
69909,506240,464383,0.0015
69910,440936,464383,0.005
69911,440936,464383,0.005
69912,4209,464383,0.13
69913,452854,464383,0.089
69914,62601,464383,0.75
69915,486029,464383,0.01
69916,385545,464383,0.015
69917,27965,464383,0.25
69918,508007,464384,0.008
69919,505804,464384,0.1
69920,119842,464384,0.046
69921,144341,464384,0.0425
69922,436691,464384,0.02
69923,394179,464384,0.18
69924,456625,464384,0.003
69925,189888,464384,0.01
69926,448490,464384,0.001
69927,513057,464384,0.035
69928,367622,464384,0.003
69929,442311,464384,0.001
69930,477232,464384,0.001
69931,472911,464384,0.001
69932,482617,464384,0.001
69933,22415,464385,0.125
69934,195016,464385,0.01
69935,194730,464385,0.1
69936,141732,464385,0.008
69937,510963,464385,0.035
69938,408268,464385,0.037
69939,479639,464385,0.03
69940,216826,464385,0.0011
69941,508093,464385,0.001
69942,346404,464385,0.001
69943,474101,464385,0.001
69944,416737,464385,0.001
69945,474411,464385,0.001
69946,474423,464385,0.001
69947,486933,464385,0.001
69948,506897,464385,0.001
69949,417707,464385,0.001
69950,84742,464385,0.09
69951,516827,464386,0.02
69952,469889,464386,0.005
69953,440405,464386,0.002
69954,442311,464386,0.0015
69955,477232,464386,0.0015
69956,448282,464386,0.021
69957,484500,464386,0.015
69958,165363,464386,0.0025
69959,516183,464386,0.125
69960,195293,464387,0.0012
69961,449916,464387,0.03
69962,516875,464387,0.05
69963,495017,464387,0.19
69964,29339,464387,0.085
69965,465392,464387,0.005
69966,485887,464387,0.02
69967,209283,464387,0.005798
69968,122482,464388,0.0135
69969,492808,464388,0.005
69970,92139,464388,0.009
69971,170036,464388,0.02
69972,209663,464388,0.025
69973,390516,464388,0.33
69974,431281,464388,0.01
69975,475256,464388,0.01
69976,501515,464388,0.0025
69977,400829,464388,0.01
69978,492727,464389,0.0011
69979,448210,464389,0.015
69980,466565,464389,0.019
69981,501721,464389,0.075
69982,392610,464389,0.0342
69983,453677,464389,0.02
69984,424291,464389,0.01
69985,407602,464389,0.007
69986,43130,464389,0.095
69987,485994,464390,0.005
69988,512321,464390,0.0499
69989,450126,464390,0.01
69990,441863,464390,0.005
69991,408285,464390,0.0035
69992,449952,464390,0.005
69993,507347,464390,0.005
69994,461174,464390,0.004
69995,478129,464390,0.003
69996,462489,464390,0.0025
69997,425456,464390,0.002
69998,149395,464390,0.005998
69999,162892,464390,0.02
70000,476094,464390,0.009
70001,475552,464390,0.001
70002,150213,464391,0.11305
70003,136003,464396,0.075
70004,501979,464396,1.5
70005,469035,464396,0.01
70006,87590,464396,0.014
70007,462110,464396,0.029
70008,80832,464396,0.1
70009,513091,464397,0.008
70010,153558,464397,0.02
70011,25239,464397,0.22
70012,461812,464397,0.15
70013,486235,464397,0.005
70014,455784,464397,0.0076
70015,200579,464397,0.015
70016,430018,464397,0.03
70017,41186,464397,0.081
70018,44615,464397,0.08
70019,359003,464398,0.044
70020,430382,464398,0.0425
70021,195329,464398,0.03
70022,172063,464398,0.0125
70023,383239,464398,0.08
70024,516380,464398,0.017
70025,436114,464398,0.004
70026,423859,464398,0.015
70027,99723,464398,0.008
70028,451318,464398,0.073
70029,433102,464398,0.08
70030,483990,464398,0.05
70031,392173,464399,0.006
70032,410671,464399,0.06
70033,175104,464399,0.022
70034,91159,464399,0.01
70035,489479,464399,0.1
70036,484792,464399,0.069
70037,508804,464399,0.0034
70038,487311,464399,0.005
70039,465444,464399,0.02
70040,468988,464399,0.15
70041,516621,464399,0.008
70042,488817,464399,0.001
70043,501572,464399,0.001
70044,515173,464400,0.02
70045,452250,464400,0.00164
70046,392177,464400,0.001
70047,411634,464400,0.001
70048,450470,464400,0.001
70049,441152,464400,0.001
70050,461480,464400,0.001
70051,468728,464400,0.001
70052,486932,464400,0.001
70053,449223,464400,0.001
70054,486935,464400,0.001
70055,486936,464400,0.001
70056,492193,464400,0.001
70057,494957,464400,0.0018
70058,468422,464400,0.001
70059,417749,464400,0.001
70060,458540,464400,0.0016
70061,86565,464400,0.002
70062,475267,464400,0.002
70063,47850,464400,0.003
70064,410901,464400,0.14
70065,457744,464400,0.002
70066,490905,464400,0.01
70067,516955,464400,0.3
70068,113999,464400,0.002953
70069,334379,464400,0.003054
70070,98506,464400,0.003
70071,456865,464400,0.09
70072,136654,464400,0.005
70073,409236,464400,0.08
70074,387709,464400,0.006
70075,456551,464400,0.006
70076,474090,464400,0.001
70077,474100,464400,0.001
70078,474092,464401,0.001
70079,8394,464401,0.1161
70080,507515,464401,0.085
70081,166607,464401,0.02
70082,496379,464401,0.009
70083,501814,464401,0.05
70084,514361,464401,0.005905
70085,472007,464401,0.075
70086,515967,464401,0.45
70087,29516,464401,0.12
70088,440682,464401,0.0099
70089,195760,464401,0.0123345
70090,516956,464401,0.22
70091,205576,464401,0.0125678
70092,464233,464401,0.02
70093,507551,464401,0.1
70094,496112,464401,0.05
70095,47071,464401,0.2
70096,357318,464401,0.0075
70097,25589,464401,0.169
70098,420000,464401,0.0011
70099,516729,464402,0.019
70100,152727,464402,0.019
70101,508650,464402,0.0225
70102,443254,464402,0.033
70103,181794,464402,0.031
70104,472831,464402,0.003
70105,9672,464402,0.249
70106,476931,464402,0.0044
70107,24109,464402,0.225
70108,476955,464402,0.0044
70109,512331,464402,0.39
70110,29017,464402,0.65
70111,441885,464402,0.02
70112,469503,464402,0.01
70113,476934,464403,0.0044
70114,169086,464403,0.055
70115,477825,464403,0.25
70116,68326,464403,0.055
70117,13139,464403,0.155
70118,20884,464403,0.249
70119,125794,464403,0.025
70120,65044,464403,0.007998
70121,437855,464403,0.02
70122,177048,464403,0.044
70123,501582,464403,0.03
70124,24109,464403,0.3
70125,449565,464403,0.33723
70126,516709,464403,1.0
70127,12930,464403,0.5
70128,4124,464403,0.2
70129,377902,464403,0.0312345
70130,430660,464404,0.025
70131,42996,464404,0.2
70132,427510,464404,0.0022
70133,504831,464404,0.01194
70134,443508,464404,0.0022
70135,515253,464404,0.005
70136,512286,464404,0.033155
70137,409150,464405,0.04
70138,23925,464405,0.249
70139,379226,464405,0.1
70140,191618,464405,0.059
70141,478269,464405,0.035
70142,468589,464405,0.035
70143,131172,464405,0.0089
70144,445124,464405,0.0025
70145,425566,464405,0.1
70146,189826,464405,0.02
70147,482062,464405,0.0043
70148,468379,464405,0.0299998
70149,463161,464406,0.01
70150,44813,464406,0.13
70151,207635,464406,0.01
70152,483375,464406,0.01
70153,512633,464406,0.0365
70154,28764,464406,0.111
70155,3358,464406,4.49
70156,46611,464406,0.15
70157,504296,464406,0.01
70158,501526,464406,0.01
70159,510359,464406,0.01
70160,515792,464406,0.014
70161,87250,464407,1.1
70162,495662,464407,0.035
70163,119552,464407,0.0426
70164,77905,464407,0.0356
70165,176726,464407,0.035
70166,484407,464407,0.035
70167,375312,464407,0.032
70168,495665,464407,0.03
70169,45568,464407,0.175
70170,117537,464407,0.01
70171,94245,464407,0.008
70172,492682,464407,0.1
70173,513710,464407,0.035
70174,139347,464407,0.005
70175,511545,464407,0.025
70176,415002,464407,0.0328
70177,484895,464407,0.021
70178,507577,464407,0.05
70179,516535,464407,0.01
70180,487805,464408,0.01
70181,411718,464408,0.009
70182,515358,464408,0.021
70183,198335,464408,0.15
70184,391963,464408,0.02
70185,454718,464408,0.022
70186,394934,464408,0.03969
70187,425698,464408,0.039
70188,402525,464408,0.026015
70189,507411,464408,0.02
70190,152460,464408,0.025
70191,592,464408,10.5
70192,503956,464408,0.075
70193,499784,464408,0.0018
70194,447280,464408,0.006
70195,515789,464408,0.01
70196,426596,464409,0.009
70197,135777,464409,0.00139
70198,173493,464409,0.00139
70199,391759,464409,0.0042
70200,422481,464409,0.0045
70201,500353,464409,0.0027
70202,516028,464409,0.0015
70203,475076,464409,0.0025
70204,196173,464409,0.085
70205,509225,464409,0.11
70206,119306,464409,0.034
70207,23006,464410,3.0
70208,59979,464410,1.9
70209,106277,464410,0.1
70210,476087,464410,0.015
70211,421823,464410,0.019
70212,495029,464410,0.03
70213,457211,464410,0.026
70214,489495,464410,0.035
70215,513362,464411,0.01
70216,9673,464411,1.49
70217,414455,464411,0.05
70218,504297,464411,0.008
70219,484457,464411,0.01
70220,87128,464411,0.2
70221,516620,464411,0.001
70222,2745,464411,0.45
70223,101755,464411,0.003
70224,457471,464412,0.05
70225,409766,464412,0.054
70226,499389,464412,0.003
70227,424973,464412,0.0405
70228,77770,464412,0.001
70229,125037,464412,0.002
70230,313902,464412,0.001
70231,348424,464412,0.001
70232,506336,464412,0.07
70233,174868,464412,0.005
70234,68731,464412,0.003
70235,12889,464413,0.22
70236,141628,464413,0.00139
70237,207380,464413,0.02345
70238,367113,464413,0.017
70239,490649,464413,0.015
70240,99073,464413,0.002
70241,508937,464413,0.0019
70242,494050,464413,0.0015
70243,491997,464413,0.008
70244,490910,464413,0.015
70245,448296,464413,0.006
70246,50362,464413,0.003
70247,505674,464413,0.0019
70248,499604,464413,0.009
70249,489152,464413,0.002
70250,500151,464414,0.001499
70251,499052,464414,0.005
70252,516125,464414,0.005
70253,440682,464414,0.0333
70254,493576,464414,0.09
70255,366914,464415,0.014
70256,515995,464415,0.012
70257,185841,464415,0.006
70258,498122,464415,0.00169
70259,504145,464415,0.005
70260,482341,464415,0.007
70261,486659,464416,0.015
70262,439730,464416,0.013
70263,434156,464416,0.05
70264,416756,464416,0.05
70265,496789,464417,0.05
70266,430431,464417,0.024
70267,27550,464417,0.15
70268,428345,464417,0.0025
70269,492324,464417,0.006
70270,104080,464417,0.002999
70271,515575,464417,0.008
70272,59538,464417,0.012
70273,514687,464417,0.152
70274,474434,464417,0.002
70275,501855,464417,0.002
70276,83477,464417,0.004
70277,178898,464418,0.002
70278,448003,464418,0.005587
70279,189323,464418,0.009
70280,507264,464418,0.016
70281,367140,464418,0.0275
70282,35186,464418,0.015
70283,174618,464418,0.07
70284,515967,464418,0.021
70285,444199,464418,0.021
70286,496152,464418,0.004
70287,425506,464419,0.001
70288,461573,464419,0.001
70289,489560,464419,0.001
70290,481145,464419,0.001
70291,437222,464419,0.02
70292,437569,464419,2.5
70293,418176,464419,0.11
70294,414610,464419,0.05
70295,438005,464419,0.003
70296,8428,464419,0.205
70297,351630,464419,0.0263
70298,387921,464420,0.075
70299,510594,464420,0.002
70300,132735,464420,0.00139
70301,108755,464420,0.02
70302,480315,464420,0.026
70303,455974,464420,0.033
70304,411113,464420,0.033
70305,506272,464420,0.1
70306,428329,464420,0.03
70307,481240,464420,0.099
70308,515228,464421,0.003
70309,109535,464421,0.0028
70310,44615,464421,0.06
70311,510365,464421,0.01
70312,510358,464421,0.01
70313,516622,464422,0.001
70314,481421,464422,0.029
70315,34339,464422,0.25
70316,488391,464422,0.017
70317,488200,464422,0.075
70318,424293,464422,0.01
70319,111293,464423,0.01
70320,517018,464423,0.005
70321,270,464423,2.5
70322,171797,464423,0.04
70323,119653,464423,0.24
70324,73917,464423,0.13
70325,515108,464423,0.02
70326,482418,464423,0.001
70327,476404,464423,0.01
70328,378879,464423,0.03
70329,433534,464423,0.075
70330,516390,464423,0.01
70331,27478,464423,0.199
70332,206726,464423,0.05
70333,468568,464423,0.009
70334,59779,464423,0.018
70335,497963,464424,0.045
70336,83582,464424,0.3
70337,174407,464424,0.022
70338,423173,464424,0.06
70339,425627,464424,0.01
70340,514510,464424,0.005
70341,361085,464424,0.021111
70342,154596,464424,0.012
70343,502751,464424,0.01
70344,517056,464424,0.025
70345,510291,464424,0.12
70346,432002,464425,0.01
70347,165900,464425,0.14
70348,458496,464425,0.001
70349,515893,464425,0.0035
70350,487012,464425,0.002
70351,185841,464425,0.02
70352,369629,464426,0.003
70353,513499,464426,0.002
70354,334804,464426,0.04
70355,405605,464426,0.05
70356,516170,464426,0.005
70357,516101,464426,0.005
70358,514137,464426,0.002
70359,473975,464426,0.0495
70360,468010,464426,0.01
70361,465548,464426,0.0074
70362,446647,464426,0.003
70363,437650,464426,0.01
70364,505957,464426,0.004
70365,29311,464427,0.3
70366,507414,464427,0.022
70367,478957,464427,0.022
70368,139347,464427,0.00188
70369,188957,464427,0.024
70370,491495,464427,0.0065
70371,516991,464427,0.025
70372,411719,464427,0.0125111
70373,469143,464427,0.008
70374,375108,464427,0.01
70375,21176,464427,2.0
70376,512282,464428,0.016
70377,349952,464428,0.0074998
70378,7107,464429,0.25
70379,505247,464429,0.0015
70380,514864,464429,0.002
70381,459275,464429,0.052
70382,408202,464429,0.019
70383,3001,464429,0.249
70384,517284,464430,0.03
70385,156333,464430,0.00139
70386,9695,464430,0.13
70387,19989,464430,0.3249
70388,92723,464431,0.25
70389,476762,464431,0.1
70390,496387,464431,0.008
70391,484560,464431,0.003
70392,58422,464431,0.065
70393,513980,464432,0.0081
70394,1931,464432,0.41
70395,514300,464433,0.009
70396,121150,464434,0.01
70397,209904,464434,0.15
70398,424746,464434,0.0295
70399,198005,464435,0.09
70400,478634,464435,0.009
70401,456509,464435,0.0063
70402,517249,464435,0.025
70403,438583,464435,0.047025
70404,471727,464435,0.009592
70405,501552,464435,0.075
70406,483084,464435,0.004
70407,514684,464435,0.151
70408,457777,464437,0.14
70409,429568,464437,0.002
70410,487613,464437,0.002999
70411,487613,464437,0.002999
70412,47209,464437,0.07
70413,97021,464437,0.01
70414,376793,464437,0.003117
70415,151284,464437,0.005
70416,372597,464438,0.00165
70417,430029,464438,0.006233
70418,515967,464438,0.04
70419,497598,464439,0.004
70420,474695,464439,0.09
70421,517443,464440,0.13
70422,515651,464440,0.0149
70423,198247,464440,0.0025
70424,467089,464441,0.15
70425,514174,464441,0.03
70426,106277,464441,0.15
70427,334077,464441,0.1
70428,126778,464441,0.25
70429,8483,464441,0.09
70430,75012,464443,0.03
70431,39428,464443,0.026
70432,141168,464443,0.026
70433,438695,464443,0.026
70434,36922,464443,0.033
70435,453739,464443,0.01
70436,479778,464443,0.01
70437,35545,464443,0.029
70438,512006,464443,0.02
70439,496947,464443,0.01
70440,506992,464443,0.015
70441,1318,464444,0.65
70442,426689,464444,0.01
70443,479779,464444,0.0075
70444,477993,464445,0.02
70445,516589,464445,0.01
70446,159958,464445,0.003
70447,517306,464445,0.03
70448,384291,464445,0.003
70449,438088,464445,0.008
70450,517327,464446,0.0103
70451,3859,464446,0.09
70452,481363,464446,0.0033
70453,181067,464447,0.03
70454,490016,464447,0.026
70455,497836,464447,0.03
70456,492074,464447,0.75
70457,155969,464447,0.0075
70458,464573,464447,0.0399
70459,367140,464448,0.031
70460,517057,464448,0.029855
70461,480035,464448,0.021
70462,507525,464448,0.01
70463,164040,464448,0.02
70464,450669,464448,0.0111
70465,366484,464448,0.01
70466,459293,464448,0.02
70467,459281,464448,0.02
70468,402335,464448,0.009
70469,439779,464448,0.011
70470,371157,464448,0.01
70471,409335,464448,0.011
70472,420900,464449,0.025
70473,462652,464449,0.011
70474,502869,464449,0.02
70475,458174,464449,0.013
70476,390187,464449,0.007995
70477,474134,464449,0.0085
70478,486684,464449,0.1
70479,437226,464449,0.01
70480,507015,464449,0.008
70481,461559,464449,0.011
70482,172173,464449,0.006
70483,493799,464449,0.004
70484,482065,464449,0.0039
70485,462608,464449,0.003
70486,517035,464449,0.018
70487,460946,464449,0.008
70488,423153,464449,0.008
70489,166829,464449,0.01
70490,447566,464449,0.01
70491,466600,464449,0.01
70492,490791,464449,0.01
70493,510646,464449,0.01
70494,494586,464449,0.01
70495,482107,464449,0.0029
70496,470402,464449,0.008
70497,461180,464449,0.008
70498,503989,464449,0.002
70499,475101,464449,0.007
70500,445562,464449,0.0075
70501,479646,464449,0.003
70502,316351,464449,0.005
70503,17836,464449,0.005
70504,449723,464449,0.0015
70505,506488,464449,0.009
70506,401573,464450,0.005
70507,450756,464450,0.0055
70508,501161,464450,0.0449999
70509,415370,464450,0.0022
70510,91519,464450,0.055
70511,507671,464450,0.002
70512,500104,464450,0.002
70513,507614,464450,0.003
70514,507584,464450,0.003
70515,204945,464450,0.004
70516,506841,464450,0.002
70517,501857,464450,0.003
70518,514996,464450,0.0025
70519,487373,464450,0.0025
70520,496671,464450,0.0025
70521,494586,464450,0.033
70522,496669,464450,0.0025
70523,468584,464450,0.0025
70524,204941,464450,0.0022
70525,469219,464450,0.0022
70526,409294,464450,0.045127
70527,507607,464450,0.002
70528,394979,464450,0.002
70529,483473,464450,0.02
70530,481118,464450,0.002
70531,507942,464450,0.002
70532,497233,464450,0.002
70533,496670,464450,0.002
70534,15403,464450,0.008
70535,471789,464450,0.0018
70536,18441,464450,0.0016
70537,461655,464450,0.011
70538,507415,464450,0.0015
70539,487288,464450,0.0011
70540,464660,464450,0.009
70541,472841,464450,0.0013
70542,431572,464450,0.00122
70543,449995,464450,0.0012
70544,440316,464450,0.001
70545,19267,464450,0.001
70546,45589,464450,0.2
70547,499726,464450,0.0011
70548,507418,464450,0.0011
70549,516063,464450,0.0011
70550,424498,464450,0.0011
70551,516069,464450,0.0011
70552,488334,464450,0.001
70553,494806,464450,0.001
70554,517284,464450,0.005
70555,515462,464450,0.017
70556,492776,464450,0.0024
70557,514544,464451,0.009
70558,507614,464451,0.006
70559,210415,464451,0.005
70560,509776,464451,0.015
70561,417675,464451,0.0499999
70562,400395,464451,0.03
70563,507257,464451,0.015
70564,440639,464451,0.115
70565,504241,464451,0.03
70566,477496,464451,0.0074
70567,511831,464451,0.12
70568,1408,464451,0.65
70569,182303,464451,0.0024
70570,494969,464451,0.005
70571,507414,464451,0.04
70572,474923,464452,0.005
70573,205465,464452,0.0034999
