,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,3.74,0.0,25.39,0.0036,3.63,7,193,21,21,457904
0,9.89,0.0,22.19,0.0,9.86,36,365,23,22,326832
0,3.23,0.0,42.42,0.0,3.03,1,33,4,9,457907
0,6.42,5.88,17.46,0.029995,6.35,8,126,11,3,457908
0,6.64,0.0,24.79,0.005712,6.3,15,238,23,21,457909
0,16.55,11.47,33.72,0.47667955,15.13,118,780,72,73,457910
0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,195765
0,14.77,15.0,35.14,0.1640553,14.86,22,148,15,15,457915
0,13.31,13.38,26.06,0.146337,13.33,66,495,35,28,64702
0,8.16,5.56,21.21,0.007154,7.88,13,165,12,10,64708
0,14.29,4.55,26.42,0.029352,12.26,13,106,8,7,457929
0,6.67,0.0,20.0,0.003745,6.67,1,15,1,1,457930
0,11.76,0.0,15.79,0.00297,10.53,2,19,1,0,64713
0,0.0,0.0,23.08,0.00249,0.0,0,13,0,3,195788
0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,195785
0,22.58,11.11,36.21,0.149775,17.24,20,116,13,9,457935
0,7.48,0.0,21.05,0.000555,7.02,8,114,11,5,195792
0,9.82,2.7,24.5,0.0359,8.05,24,298,27,22,64719
0,15.63,0.0,25.0,0.024336,9.62,5,52,2,6,457945
0,5.33,8.06,19.71,0.055966,6.57,9,137,10,8,195803
0,0.0,0.0,5.26,0.0,0.0,0,19,1,0,195804
