,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Buterin,genesis,Bleu De France,Z9,Stallion,https://img.zed.run/horses/318CE7.png,2021-07-09T20:40:21,King's River,43320,[],2,0.0,19,10,29,20.0,2,3,6.9,False
0,Finney,elite,Battle Horse Gray,Z18,Colt,https://img.zed.run/horses/848482.png,2022-07-01T21:21:51,Need More Variance,436538,"[{'name': 'Banged Up', 'nft_id': 399499}, {'name': 'Shadows', 'nft_id': 34270}]",17,5.9,288,3,291,0.0,27,30,5.84,False
0,Buterin,exclusive,Deep Taupe,Z27,Colt,https://img.zed.run/horses/7E5E60.png,2021-12-25T21:29:32,Dale Jr,174395,"[{'name': 'Right Daddy', 'nft_id': 155046}, {'name': 'Love Always', 'nft_id': 41533}]",1,3.45,29,1,30,0.0,0,3,3.33,False
0,Buterin,genesis,Fiery Rose,Z9,Mare,https://img.zed.run/horses/FF5470.png,2021-07-09T20:40:23,Like  Em Sassy,43323,[],30,5.51,272,141,413,10.64,41,26,7.26,False
0,Nakamoto,elite,Fawn,Z8,Mare,https://img.zed.run/horses/E5AA70.png,2022-07-01T21:31:51,La Nuit Porte Conseil,436547,"[{'name': 'De Rigueur', 'nft_id': 414469}, {'name': 'Ady', 'nft_id': 402255}]",7,9.68,62,13,75,7.69,8,7,9.33,False
0,Finney,legendary,Big Dip O’Ruby,Z8,Mare,https://img.zed.run/horses/9C2542.png,2021-12-25T21:39:16,Codename Julia,174405,"[{'name': 'Trinity Warrior', 'nft_id': 22358}, {'name': 'Primal Cypher', 'nft_id': 12919}]",42,4.89,798,51,849,5.88,88,61,4.95,False
0,Nakamoto,legendary,Coyote Brown,Z3,Stallion,https://img.zed.run/horses/81613C.png,2021-12-25T21:39:39,Primal Collision,174407,"[{'name': 'Primal Cypher', 'nft_id': 12919}, {'name': 'Collision Course', 'nft_id': 1002}]",13,16.22,74,25,99,4.0,13,11,13.13,False
0,Nakamoto,elite,Dark Byzantium,Z8,Colt,https://img.zed.run/horses/5D3954.png,2022-07-01T21:34:13,Poser Un Lapin,436551,"[{'name': 'De Rigueur', 'nft_id': 414469}, {'name': 'Suspicious Lady', 'nft_id': 217655}]",0,0.0,33,0,33,0.0,2,2,0.0,False
0,Buterin,genesis,Hairy Canary,Z9,Stallion,https://img.zed.run/horses/FFFF99.png,2021-07-09T20:40:33,Quiet Warrior,43336,[],215,13.13,1500,171,1671,10.53,131,109,12.87,False
0,Buterin,pacer,Cerulean Frost,Z50,Filly,https://img.zed.run/horses/6D9BC3.png,2022-07-01T21:44:47,Midline Frost,436557,"[{'name': 'Purple Dingleberry', 'nft_id': 415629}, {'name': 'Getting It', 'nft_id': 413941}]",0,0.0,32,0,32,0.0,3,0,0.0,False
0,Buterin,genesis,AO,Z9,Stallion,https://img.zed.run/horses/008000.png,2021-07-09T20:40:46,Atomist,43344,[],2,33.33,3,2,5,50.0,0,0,40.0,False
0,Buterin,legendary,Desert Sand,Z20,Colt,https://img.zed.run/horses/EDC9AF.png,2021-12-25T21:55:46,El Maromero,174418,"[{'name': 'Impressed By Credibility', 'nft_id': 45075}, {'name': 'Silly Sausage', 'nft_id': 27659}]",0,0.0,14,0,14,0.0,0,0,0.0,False
0,Buterin,legendary,Cinnamon Satin,Z20,Colt,https://img.zed.run/horses/CD607E.png,2021-12-25T21:56:15,I'm like that,174419,"[{'name': 'Silly Sausage', 'nft_id': 27659}, {'name': 'Node.js', 'nft_id': 7816}]",0,0.0,15,0,15,0.0,0,0,0.0,False
0,Buterin,cross,Fuzzy Wuzzy,Z66,Stallion,https://img.zed.run/horses/CC6666.png,2021-12-25T22:12:08,Cool As The Breeze,174423,"[{'name': 'Quote Me', 'nft_id': 101769}, {'name': 'Carmine', 'nft_id': 31742}]",5,6.76,74,1,75,0.0,5,3,6.67,False
0,Nakamoto,exclusive,Ghost White,Z8,Stallion,https://img.zed.run/horses/FFFFFF.png,2021-12-25T22:12:18,Actively Cheating,174424,"[{'name': 'Livin Legend', 'nft_id': 92190}, {'name': 'He the Mann', 'nft_id': 59237}]",21,9.17,229,12,241,0.0,20,24,8.71,True
0,Buterin,genesis,Café Au Lait,Z9,Mare,https://img.zed.run/horses/A67B5B.png,2021-07-09T20:40:52,French Jet,43355,[],16,7.38,149,75,224,6.67,22,18,7.14,False
0,Nakamoto,exclusive,Sienna,Z4,Stallion,https://img.zed.run/horses/3C1414.png,2022-07-01T22:01:16,Palm Of The Hand,436580,"[{'name': 'Hand of the Emperor', 'nft_id': 350057}, {'name': 'Palm Tree', 'nft_id': 187095}]",13,14.44,90,4,94,0.0,7,9,13.83,False
0,Buterin,genesis,Absolute Zero,Z9,Mare,https://img.zed.run/horses/0048BA.png,2021-07-09T20:41:06,Platinum Magic,43365,[],1,2.5,40,2,42,0.0,1,3,2.38,False
0,Buterin,genesis,English Vermillion,Z9,Mare,https://img.zed.run/horses/CC474B.png,2021-07-09T20:41:03,County of Luck,43366,[],1,10.0,10,11,21,0.0,1,1,4.76,False
0,Finney,legendary,Powder Blue,Z11,Stallion,https://img.zed.run/horses/B0E0E6.png,2021-12-25T22:29:09,Blue Lizard,174439,"[{'name': 'Super Silent', 'nft_id': 3196}, {'name': 'Rock Of Aged', 'nft_id': 1659}]",120,14.71,605,248,853,12.5,59,40,14.07,False
0,Szabo,legendary,Champagne Papi,Z7,Mare,https://img.zed.run/horses/F1DDCF.png,2022-07-01T22:03:52,Intimidation,436584,"[{'name': 'Royals Pains', 'nft_id': 21381}, {'name': 'Blockchain Euphoria', 'nft_id': 13072}]",1,5.56,18,4,22,0.0,1,0,4.55,False
0,Finney,elite,Destiny,Z18,Colt,https://img.zed.run/horses/872657.png,2022-07-01T22:05:00,Lucky Hopes,436587,"[{'name': 'Laughing Around The World', 'nft_id': 386139}, {'name': 'Teknoxality', 'nft_id': 368994}]",0,0.0,9,0,9,0.0,0,1,0.0,False
0,Finney,exclusive,Baker-Miller Pink,Z9,Colt,https://img.zed.run/horses/FF91AF.png,2022-07-01T22:12:09,Buffs Maid,436590,"[{'name': 'Naka Buffs', 'nft_id': 163386}, {'name': 'Designer Maid', 'nft_id': 2747}]",16,8.0,200,0,200,0.0,18,11,8.0,False
0,Buterin,genesis,Firebrick,Z9,Mare,https://img.zed.run/horses/B22222.png,2021-07-09T20:41:10,Patent Pending,43375,[],5,1.8,222,28,250,3.57,18,34,2.0,False
0,Finney,elite,Black Chocolate,Z22,Mare,https://img.zed.run/horses/1B1811.png,2022-07-01T22:12:46,Tomahawk Maid,436592,"[{'name': 'Tomahawk Times', 'nft_id': 375182}, {'name': 'Designer Maid', 'nft_id': 2747}]",3,17.65,17,0,17,0.0,4,4,17.65,False
0,Finney,exclusive,Copper Penny,Z15,Colt,https://img.zed.run/horses/AD6F69.png,2022-07-01T22:12:10,Death Maid,436591,"[{'name': 'Death Is Trying', 'nft_id': 16137}, {'name': 'Designer Maid', 'nft_id': 2747}]",7,4.14,145,12,157,8.33,17,19,4.46,False
0,Buterin,exclusive,Fire Opal,Z28,Filly,https://img.zed.run/horses/E95C4B.png,2022-07-01T22:16:16,Highest Hopes Jr,436594,"[{'name': 'Just A Gamble', 'nft_id': 417762}, {'name': 'Highest Hopes', 'nft_id': 382702}]",8,11.94,67,2,69,0.0,6,4,11.59,False
0,Nakamoto,legendary,Arctic Snow,Z4,Colt,https://img.zed.run/horses/FFFAFA.png,2022-07-01T22:17:56,Icy Magic,436595,"[{'name': 'Steel And Magic', 'nft_id': 634}, {'name': 'Move It Or Lose It', 'nft_id': 510}]",6,3.37,178,2,180,0.0,11,23,3.33,False
0,Buterin,exclusive,Electric Violet,Z11,Colt,https://img.zed.run/horses/8F00FF.png,2022-07-01T22:18:09,TESTKING,436596,"[{'name': 'Big Meech', 'nft_id': 54946}, {'name': 'Enter Sandman', 'nft_id': 20721}]",1,2.44,41,0,41,0.0,4,2,2.44,False
0,Nakamoto,legendary,Egyptian Blue,Z4,Colt,https://img.zed.run/horses/1034A6.png,2022-07-01T22:18:27,Pop Omar,436597,"[{'name': 'Arms Wide Open', 'nft_id': 593}, {'name': 'Move It Or Lose It', 'nft_id': 510}]",23,9.94,171,101,272,5.94,20,26,8.46,False
0,Nakamoto,legendary,Chartreuse,Z4,Mare,https://img.zed.run/horses/7FFF00.png,2022-07-01T22:18:48,Radioactive Whirlwind,436598,"[{'name': 'Move It Or Lose It', 'nft_id': 510}, {'name': 'To Be Continued', 'nft_id': 509}]",4,4.88,82,9,91,0.0,4,15,4.4,False
