,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Finney,exclusive,Midnight Black,Z22,Mare,https://img.zed.run/horses/000000.png,2021-10-17T14:45:38,Finney at Midnight,131193,"[{'name': 'Ugly Colored Horse', 'nft_id': 81121}, {'name': 'Finney Legendary', 'nft_id': 55195}]",42,9.92,363,123,486,4.88,48,44,8.64,False
0,Finney,elite,Oval Orchid,Z23,Filly,https://img.zed.run/horses/DA70D6.png,2022-04-15T15:24:13,Payload Too Large,393341,"[{'name': 'Life After Death', 'nft_id': 166553}, {'name': 'Dope Name', 'nft_id': 92482}]",36,9.16,393,13,406,0.0,30,28,8.87,False
0,Nakamoto,genesis,Egyptian Blue,Z1,Mare,https://img.zed.run/horses/1034A6.png,2019-02-20T12:03:38,Azure,127,[],3,23.08,13,2,15,0.0,4,4,20.0,False
0,Buterin,legendary,Bondi Blue,Z14,Mare,https://img.zed.run/horses/0095B6.png,2021-10-17T15:00:46,Hippie Cabbage,131199,"[{'name': 'Surfer Rosa', 'nft_id': 14935}, {'name': 'Strategic Order', 'nft_id': 2843}]",4,5.0,80,7,87,0.0,9,14,4.6,False
0,Buterin,exclusive,Bondi Blue,Z25,Mare,https://img.zed.run/horses/0095B6.png,2022-04-15T15:43:17,Original iMac,393347,"[{'name': 'Ocean Current', 'nft_id': 186170}, {'name': 'This Round ’s On Me', 'nft_id': 23432}]",5,5.95,84,4,88,0.0,13,7,5.68,False
0,Nakamoto,genesis,Sienna,Z1,Mare,https://img.zed.run/horses/3C1414.png,2019-02-20T13:20:47,Vast Sensibility,131,[],318,20.74,675,1671,2346,10.65,311,272,13.55,False
0,Buterin,legendary,Battle Horse Gray,Z18,Mare,https://img.zed.run/horses/848482.png,2022-04-15T16:39:52,Release Candidate,393354,"[{'name': 'Live Muzak', 'nft_id': 41981}, {'name': 'Memory Works', 'nft_id': 4540}]",9,4.84,186,3,189,0.0,15,13,4.76,False
0,Buterin,exclusive,Colombo Spice,Z21,Mare,https://img.zed.run/horses/FF3800.png,2022-04-15T16:42:31,Well,393355,"[{'name': 'La Embajada', 'nft_id': 201596}, {'name': 'Him', 'nft_id': 139002}]",9,13.43,67,0,67,0.0,10,8,13.43,False
0,Finney,exclusive,Antique Brass,Z15,Stallion,https://img.zed.run/horses/CD9575.png,2021-10-17T15:44:19,Paarthurnax,131214,"[{'name': 'Bloodsport', 'nft_id': 80369}, {'name': 'You Tea Eye', 'nft_id': 58656}]",15,7.25,69,98,167,10.2,15,11,8.98,False
0,Finney,exclusive,Alabaster,Z8,Mare,https://img.zed.run/horses/F2F0E6.png,2022-04-15T17:09:13,Slumber Lumber,393368,"[{'name': 'In My Dream', 'nft_id': 173119}, {'name': 'Pilgrim Wood', 'nft_id': 20616}]",73,11.99,417,267,684,8.61,58,48,10.67,False
