,data.horse.bloodline,data.horse.breed_type,data.horse.breeding_counter,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.last_breeding_reset,data.horse.name,data.horse.nft_id,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.number_of_races,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate
0,Buterin,exclusive,3,Hairy Canary,Z24,Colt,https://img.zed.run/horses/FFFF99.png,2022-04-16T01:19:41,2022-12-24T01:13:46Z,Nikki Baggs,393654,0,3,0,0,0.0
0,Finney,elite,3,Deep Taupe,Z17,Colt,https://img.zed.run/horses/7E5E60.png,2022-04-16T01:21:29,2022-12-24T01:14:52Z,A Little Wild,393655,2,27,2,2,7.41
0,Finney,exclusive,3,Chrome Yellow,Z19,Colt,https://img.zed.run/horses/FFA700.png,2022-04-16T01:22:42,2022-12-24T01:15:20Z,Crumbly,393656,0,5,0,0,0.0
0,Nakamoto,genesis,0,Oval Orchid,Z1,Mare,https://img.zed.run/horses/DA70D6.png,2019-03-11T12:31:44,2023-01-09T12:31:39Z,Bermuda Triangle,441,467,3179,383,325,14.69
0,Finney,elite,1,Atomic Tangerine,Z18,Mare,https://img.zed.run/horses/FF9966.png,2022-04-16T01:25:08,2022-12-24T01:20:24Z,Tangerine Nightmare,393660,2,30,1,4,6.67
0,Buterin,legendary,3,Celestial Blue,Z13,Stallion,https://img.zed.run/horses/4997D0.png,2022-04-16T01:27:39,2022-12-24T01:23:08Z,TheUltimateUnknown,393661,10,303,23,36,3.3
0,Finney,exclusive,1,Burnt Umber,Z11,Filly,https://img.zed.run/horses/8A3324.png,2022-04-16T01:28:15,2022-12-24T01:23:46Z,Daytona Corona,393662,35,586,52,40,5.97
0,Szabo,legendary,3,Burnt Sienna,Z5,Stallion,https://img.zed.run/horses/E97451.png,2021-10-18T07:24:11,2023-01-09T07:17:26Z,Initiated,131519,174,1374,126,75,12.66
0,Buterin,legendary,3,Champagne Papi,Z14,Colt,https://img.zed.run/horses/F1DDCF.png,2022-04-16T01:28:34,2022-12-24T01:24:02Z,Donald Bull Trump,393665,7,57,4,6,12.28
0,Buterin,legendary,3,Baker-Miller Pink,Z15,Colt,https://img.zed.run/horses/FF91AF.png,2022-04-16T01:52:02,2022-12-24T01:47:32Z,Everybody Loves Pizza,393673,1,89,6,7,1.12
0,Buterin,elite,1,Celestial Blue,Z28,Filly,https://img.zed.run/horses/4997D0.png,2022-04-16T02:16:19,2022-12-24T02:11:50Z,Way Too Late,393682,0,37,1,1,0.0
