,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,0.0,0.0,13.64,0.01284,0.0,0,22,1,2,511521
0,10.0,9.09,29.82,0.115162,9.65,11,114,12,11,380450
0,16.67,0.0,49.32,0.0143013,16.44,12,73,10,14,380451
0,0.0,33.33,20.0,0.00768,6.67,1,15,1,1,511526
0,5.88,0.0,23.53,0.0,5.88,1,17,2,1,511528
0,7.86,6.11,24.69,0.27577999999999997,7.23,53,733,64,64,118314
0,13.33,37.5,30.88,0.0157552,16.18,11,68,5,5,380462
0,9.17,10.18,24.68,0.6118372,9.62,60,624,48,46,380463
0,12.5,0.0,31.03,0.016866,10.34,3,29,3,3,511545
0,16.05,25.0,25.88,0.046194,16.47,14,85,5,3,511547
0,17.36,0.0,26.57,0.00644,14.69,21,143,7,10,380484
0,15.38,5.88,28.77,0.021645,10.96,8,73,7,6,380485
0,6.25,0.0,23.3,0.005172,5.83,6,103,9,9,511567
0,10.69,0.0,30.43,0.00279,10.56,17,161,15,17,380498
0,0.0,0.0,25.0,0.012809,0.0,0,28,5,2,511571
0,8.49,18.52,25.1,0.073056,9.62,23,239,15,22,511572
0,0.0,0.0,6.45,0.007728,0.0,0,31,0,2,511573
0,4.72,0.0,22.46,0.024481,3.62,5,138,12,14,118359
0,0.0,4.76,6.25,0.0123552,3.13,1,32,1,0,511579
0,0.0,0.0,14.58,0.00198,0.0,0,48,5,2,118363
0,7.55,0.0,30.71,0.03984,6.3,8,127,10,21,511582
0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,380514
0,4.35,0.0,26.09,0.008175,4.35,1,23,2,3,380518
0,3.64,2.04,15.38,0.131802,2.88,3,104,9,4,511592
0,0.0,0.0,16.22,0.4348176,0.0,0,111,11,7,511593
0,7.22,0.0,23.06,0.005265,7.18,38,529,39,45,380523
0,12.2,0.0,30.59,0.004543,11.76,10,85,9,7,380525
0,4.15,0.0,21.1,0.00197,3.8,9,237,16,25,380526
0,6.49,0.0,13.25,0.00936,6.02,5,83,3,3,380541
0,1.56,0.0,5.56,0.001634,1.11,1,90,3,1,118398
0,2.14,0.0,18.09,0.003325,2.13,4,188,13,17,380545
0,0.0,8.0,19.57,0.038412,4.35,2,46,2,5,511629
0,0.0,0.0,3.23,0.0,0.0,0,31,0,1,511630
0,0.0,0.0,2.94,0.0,0.0,0,34,1,0,511631
0,14.29,0.0,27.47,0.0,13.19,12,91,8,5,511639
0,6.45,11.43,27.27,0.08147,9.09,6,66,5,7,511640
0,11.14,11.29,27.09,0.074229,11.16,56,502,42,38,118451
0,13.64,22.22,31.19,0.12967935,15.29,50,327,30,22,118452
0,50.0,0.0,53.85,0.01878,7.69,1,13,1,5,511670
0,4.11,4.26,29.53,0.104322,4.15,8,193,18,31,511671
0,0.0,0.0,2.13,0.00408,0.0,0,47,0,1,511674
0,0.0,0.0,13.33,0.001785,0.0,0,15,0,2,118460
0,7.05,0.0,24.54,0.00857,6.75,11,163,17,12,118473
0,2.94,0.0,14.71,0.001275,2.94,1,34,2,2,380623
0,3.57,3.45,21.05,0.0932748,3.51,2,57,2,8,511697
0,2.94,0.0,24.07,0.0275062,2.9,7,241,18,33,380633
0,9.09,0.0,26.62,0.024475,7.91,11,139,17,9,380634
0,3.42,7.89,21.26,0.0649626,3.99,12,301,22,30,380635
0,4.36,9.09,23.44,0.175987,4.69,45,960,96,84,380636
0,9.62,8.2,29.09,0.09822,9.09,15,165,15,18,380639
0,4.83,0.0,20.69,0.00225,4.83,7,145,9,14,380647
