,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,4.25,0.0,25.81,0.0485372,4.19,13,310,24,43,2150
0,21.05,11.11,41.07,0.046446,17.86,10,56,8,5,2151
0,5.07,11.54,22.26,0.13210835,5.28,42,795,66,69,395369
0,3.95,50.0,19.23,0.00644,5.13,4,78,6,5,395370
0,12.86,0.0,28.57,0.000255,12.86,9,70,5,6,395380
0,4.29,0.0,20.61,0.01606,4.24,7,165,11,16,395381
0,6.03,9.24,21.51,0.82957018,6.82,84,1232,90,91,395385
0,12.18,4.0,29.28,0.0421034,11.41,30,263,21,26,395386
0,0.0,0.0,11.11,0.0,0.0,0,9,0,1,395387
0,12.45,4.35,32.05,0.066552,10.41,38,365,42,37,395388
0,4.52,0.0,22.35,0.00064,4.47,8,179,14,18,395389
0,8.57,6.12,26.62,0.05404,7.79,12,154,15,14,2175
0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,395393
0,4.44,0.0,20.0,0.0,4.44,6,135,12,9,395394
0,2.53,0.0,20.0,0.0067809,2.5,2,80,1,13,2181
0,7.01,8.97,24.86,0.183694,7.18,65,905,91,69,395397
0,11.78,4.0,28.4,0.1368531,11.31,94,831,74,68,395399
0,4.69,16.67,28.95,0.026832,6.58,5,76,7,10,395401
0,16.16,0.0,25.45,0.002905,14.55,16,110,6,6,395418
0,10.02,7.3,28.54,0.9778988,8.86,77,869,91,80,395419
0,17.86,0.0,27.59,0.00872,17.24,5,29,2,1,395420
0,7.14,0.0,21.09,0.00085,7.03,9,128,7,11,395422
0,1.82,0.0,7.27,0.0,1.82,1,55,2,1,395425
0,17.08,12.79,32.76,1.60783325,15.75,301,1911,189,136,133282
0,6.38,0.0,22.68,0.000425,6.19,6,97,8,8,395428
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2219
0,9.48,8.33,25.04,0.05914,9.46,54,571,47,42,395439
0,9.0,0.0,28.44,0.03521175,8.26,9,109,14,8,2230
0,5.26,0.0,7.69,0.00576,3.85,1,26,0,1,133304
0,6.84,0.0,20.09,0.0175008,5.94,13,219,19,12,133307
0,9.75,10.6,25.44,0.5718189,10.06,153,1521,127,107,133309
0,20.45,0.0,41.1,0.15704825,18.49,27,146,23,10,2238
0,9.09,0.0,24.24,0.00204,9.09,3,33,4,1,395453
0,6.8,0.0,29.51,0.018636,5.74,7,122,15,14,2240
0,7.92,0.0,20.75,0.02154,7.55,8,106,9,5,133320
0,6.33,0.0,31.25,0.00802,6.25,5,80,13,7,133323
0,15.09,10.29,38.33,0.21683669,13.66,31,227,32,24,2252
0,8.72,5.33,22.91,0.372354,7.49,35,467,32,40,2255
0,8.57,0.0,28.17,0.00338,8.45,6,71,7,7,395474
0,8.0,0.0,27.16,0.02701,7.76,26,335,36,29,395483
0,0.0,0.0,8.33,0.003325,0.0,0,12,1,0,395486
0,6.64,0.0,26.31,0.009025,6.58,34,517,51,51,395487
0,3.34,0.0,25.16,0.0017,3.33,16,481,46,59,395490
0,15.38,0.0,23.08,0.00102,15.38,6,39,1,2,395494
0,0.0,0.0,22.73,0.004225,0.0,0,22,5,0,395495
0,0.0,0.0,10.0,0.0004,0.0,0,10,1,0,395500
0,9.43,5.13,25.76,0.14365305,8.03,29,361,29,35,2287
0,14.39,9.09,29.33,0.008165,14.0,21,150,15,8,395511
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2295
0,7.46,1.49,23.74,0.077005,6.92,51,737,62,62,2297
0,4.3,2.04,27.66,0.32194555,3.83,9,235,30,26,395513
0,0.0,0.0,50.0,0.000935,0.0,0,6,1,2,2303
0,11.11,0.0,10.0,0.00204,10.0,2,20,0,0,133376
0,4.04,0.0,22.22,0.0,4.04,4,99,10,8,395524
0,8.24,3.45,35.96,0.040745,7.02,8,114,17,16,2309
0,12.5,0.0,32.98,0.01871484,11.7,11,94,7,13,395530
0,7.8,0.0,27.15,0.02265,7.69,17,221,24,19,395531
0,9.56,22.73,27.89,0.0531586,10.54,31,294,29,22,395538
0,5.36,0.0,23.21,0.00027,5.36,6,112,9,11,395541
0,4.51,0.0,24.06,0.00285,4.51,12,266,26,26,395542
0,4.07,0.0,24.9,0.02644,3.83,10,261,26,29,395544
0,10.55,5.56,25.53,0.03502,10.39,59,568,58,28,395545
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,395546
0,2.78,0.0,29.17,0.00068,2.78,2,72,12,7,395547
0,4.85,0.0,31.82,0.005799999999999999,4.55,5,110,11,19,264473
0,4.38,0.0,26.63,0.01592,4.14,7,169,17,21,2332
0,3.15,2.38,21.36,0.107088,3.08,15,487,44,45,2334
0,2.13,0.0,20.0,0.01178465,2.13,5,235,16,26,395550
0,7.69,0.0,18.52,0.000425,7.41,2,27,3,0,395552
0,5.24,2.58,21.39,0.058058,4.74,39,823,61,76,133408
0,12.29,3.7,26.9,0.031335,10.69,31,290,23,24,395555
0,9.68,0.0,27.52,0.02251536,9.63,21,218,21,18,395559
0,8.78,6.06,20.78,0.129536,8.43,43,510,34,29,133416
0,0.0,0.0,25.0,0.000255,0.0,0,4,0,1,395563
0,7.12,0.0,36.13,0.05556675,7.07,27,382,54,57,2352
0,14.09,20.56,30.58,0.205038,16.21,53,327,30,17,133428
0,0.0,0.0,19.35,0.003385,0.0,0,31,5,1,395573
0,5.33,0.0,23.26,0.0074,5.23,9,172,11,20,395577
0,10.34,0.0,32.2,0.0016,10.17,6,59,3,10,395578
0,17.48,7.46,41.33,0.78561479,16.13,80,496,63,62,2364
0,2.48,0.0,26.19,0.0012,2.38,3,126,15,15,395581
0,4.74,0.0,21.03,0.004385,4.72,11,233,16,22,395586
0,5.26,0.0,21.05,0.0,5.26,1,19,0,3,395587
0,12.21,4.35,27.12,0.024527,11.44,27,236,23,14,133445
0,0.0,0.0,11.48,0.00231,0.0,0,61,1,6,395589
0,7.48,0.0,26.17,0.000815,7.48,8,107,8,12,395591
0,16.0,0.0,44.44,0.0081,14.81,4,27,6,2,395593
0,8.55,0.0,26.1,0.01872,8.36,74,885,80,77,133451
0,10.72,1.85,27.56,0.51138708,9.69,90,929,85,81,395598
0,11.76,3.13,26.51,0.02547,8.43,7,83,6,9,395599
0,5.16,3.51,21.03,1.4159878,4.64,54,1165,85,106,395600
0,9.49,12.95,26.19,1.2093685,10.58,122,1153,108,72,395601
0,10.81,0.0,35.23,0.0115,9.09,8,88,13,10,395605
0,15.63,2.17,26.76,0.03146,11.27,16,142,12,10,395606
0,16.36,0.0,28.91,0.049561,14.06,18,128,13,6,395607
0,3.13,0.0,15.15,0.0,3.03,1,33,4,0,395613
0,12.22,0.0,28.72,0.0043,11.7,11,94,10,6,395622
0,9.32,0.0,26.01,0.042285,9.29,30,323,28,26,395623
0,4.92,20.0,22.28,0.036668,5.7,11,193,16,16,395624
0,7.04,3.45,25.32,0.1007304,5.06,8,158,13,19,2409
0,8.7,0.0,24.64,0.00275,8.7,12,138,13,9,395625
0,0.0,0.0,9.09,0.0,0.0,0,11,1,0,133483
0,0.0,0.0,11.11,0.0,0.0,0,9,1,0,395627
0,7.35,0.0,25.07,0.0059,6.87,23,335,36,25,133491
0,4.17,0.0,24.16,0.00162,4.03,6,149,11,19,133492
0,5.88,0.0,20.59,0.00228,5.88,4,68,5,5,133493
0,15.7,9.4,30.91,0.217586,14.03,79,563,44,51,2422
0,3.44,13.95,11.67,0.083004,3.97,34,857,25,41,395642
0,0.0,0.0,12.9,0.0,0.0,0,62,3,5,133499
0,9.34,0.0,24.51,0.010005,9.34,48,514,41,37,395644
0,17.39,11.11,32.94,0.02765,17.06,29,170,16,11,133501
0,4.5,0.0,26.68,0.03856939,4.48,20,446,31,68,395645
0,7.85,4.17,23.34,0.04698,7.57,24,317,33,17,395647
0,6.18,3.24,23.79,0.1871372,5.31,33,622,77,38,133508
0,5.41,0.0,27.5,0.00285,5.0,2,40,3,6,395653
0,7.02,9.32,26.17,1.80633795,7.75,96,1238,120,108,395654
0,13.37,13.33,32.06,0.4347708,13.36,35,262,24,25,2439
0,5.09,0.0,19.9,0.01532,5.02,31,618,36,56,395655
0,5.69,0.0,24.39,0.011165,5.69,7,123,9,14,395657
0,2.04,0.0,16.33,0.00024,2.04,1,49,3,4,395659
0,7.03,0.0,25.07,0.01729675,6.86,26,379,31,38,395663
0,4.93,0.0,24.23,0.06715,4.85,11,227,21,23,2454
0,9.75,0.0,25.68,0.01661,8.95,23,257,25,18,395676
0,12.29,3.51,32.53,0.25093655,11.08,46,415,39,50,2461
0,6.99,0.0,24.48,0.0017,6.99,10,143,13,12,395678
0,8.73,0.0,24.58,0.04355685,8.63,72,834,70,63,395679
0,18.4,5.0,43.11,2.19215654,12.57,156,1241,196,183,395682
0,7.29,7.05,28.14,0.9739398,7.22,76,1052,103,117,395683
0,14.41,5.3,29.97,0.728391,10.85,84,774,88,60,395684
0,10.34,0.0,18.75,0.001685,9.38,3,32,2,1,395685
0,11.37,0.0,23.91,0.00415,11.31,44,389,30,19,395687
0,9.28,0.0,31.37,0.04066,8.82,9,102,11,12,395688
0,13.91,4.17,30.89,0.174432,13.28,49,369,35,30,395689
0,13.2,5.66,31.6,0.1902736,11.6,29,250,36,14,395690
0,0.0,0.0,0.0,0.0,0.0,0,37,0,0,133549
0,9.68,0.0,25.81,0.00589,9.68,3,31,3,2,395699
0,8.7,0.0,32.65,0.012865,8.16,4,49,5,7,395704
0,9.86,0.0,27.63,0.0072,9.21,7,76,9,5,2492
0,8.12,20.0,25.76,0.02102125,8.2,57,695,62,60,395714
0,6.61,8.33,28.66,0.029112,7.01,11,157,15,19,133573
0,9.3,0.0,23.47,0.00272,8.8,33,375,23,32,395720
0,7.99,0.0,27.38,0.12452365,7.64,65,851,86,82,395721
0,6.05,0.0,22.52,0.017475,5.86,13,222,16,21,395727
0,6.25,0.0,19.05,0.0,4.76,1,21,2,1,2513
0,6.56,3.57,24.4,0.046781,6.42,75,1168,106,104,395731
0,3.27,0.0,23.17,0.006450000000000001,3.23,11,341,35,33,395732
0,8.66,0.0,26.41,0.00884,8.66,20,231,26,15,395733
0,5.43,0.0,21.74,0.0105,5.43,5,92,5,10,2518
0,14.94,10.53,32.95,0.126848,14.45,25,173,19,13,2516
0,11.94,0.0,34.25,0.009611,10.96,8,73,7,10,2520
0,2.38,0.0,13.49,0.0012,2.38,3,126,6,8,395734
0,19.61,13.58,33.33,0.143088,15.91,21,132,10,13,2517
0,2.22,0.0,24.19,0.032596,1.61,1,62,6,8,2528
0,7.55,0.0,30.0,0.001105,6.67,4,60,5,9,395746
0,7.58,0.0,27.61,0.021435,7.46,10,134,14,13,2532
0,7.5,4.55,19.72,0.013299,7.04,10,142,6,12,395751
0,12.5,0.0,43.75,0.002055,12.5,6,48,11,4,2536
0,3.53,0.0,26.44,0.00234,3.45,3,87,10,10,2538
0,10.53,0.0,13.64,0.0,9.09,2,22,0,1,2540
0,18.18,7.14,27.56,0.04766345,15.75,20,127,9,6,395758
0,4.33,0.0,23.92,0.01123925,4.31,11,255,25,25,2546
0,1.75,0.0,31.82,0.002365,1.52,1,66,9,11,2550
0,8.09,0.0,29.79,0.00437895,7.8,11,141,15,16,2552
0,10.26,6.25,23.64,0.01788,9.09,5,55,3,5,2553
0,9.06,12.32,26.26,0.566052,9.41,187,1988,171,164,133630
0,13.73,3.41,40.43,0.45045945,12.77,120,940,144,116,395783
0,6.82,0.0,34.09,0.002315,6.82,3,44,5,7,395784
0,1.82,0.0,24.31,0.007974,1.39,2,144,18,15,133641
0,7.41,0.0,34.12,0.007956,7.06,6,85,9,14,2573
0,0.0,0.0,10.0,0.00027,0.0,0,10,0,1,395790
0,12.85,15.83,30.17,3.18620289,14.21,187,1316,113,97,2575
0,4.2,1.39,25.75,0.1793669,3.59,12,334,41,33,395792
0,17.65,25.0,52.38,0.02244,19.05,4,21,4,3,395793
0,16.67,0.0,30.0,0.011475,16.67,5,30,2,2,395794
0,4.35,0.0,27.08,0.0,4.17,2,48,6,5,133650
0,4.44,0.0,21.17,0.00518,4.38,6,137,7,16,395796
0,0.81,0.0,13.87,0.005692,0.73,1,137,8,10,133656
0,8.09,5.0,24.87,0.060315,7.77,15,193,13,20,395801
0,7.24,0.0,28.51,0.00454335,7.24,16,221,24,23,395804
0,9.97,6.25,26.6,0.051738,9.21,36,391,33,35,133663
